?gene	?label	?taxon_label
<http://zfin.org/ZDB-GENE-980526-340>	"gata5"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-020220-1>	"appb"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-040121-1>	"mapk3"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-070117-392>	"unm_ty17e"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-050522-492>	"ptbp1a"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-020507-3>	"vangl2"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-000626-1>	"tnnt2a"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-030131-3831>	"utp15"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-030131-6223>	"sufu"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-990415-131>	"htt"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-031118-121>	"erbb2"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-990603-9>	"smad5"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-030131-9572>	"etv5a"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-021226-3>	"lamc1"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-990415-75>	"noto"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-990415-214>	"pgr"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-060118-1>	"lama1"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-060119-1>	"lama2"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://zfin.org/ZDB-GENE-070117-706>	"cbn"^^<http://www.w3.org/2001/XMLSchema#string>	"Danio rerio"^^<http://www.w3.org/2001/XMLSchema#string>
